anio_fiscal,mes_fiscal,tipo_contribuyente,actividad_economica,impuesto_causado_601,imp_a_pagar_por_percepcion_699,imp_a_pagar_por_retencion_799,total_compras_locales_e_importac_519,total_ventas_y_exportaciones_419
2017,3,SOCIEDADES,C1103,6512694.18,5439141.87,586716.41,17251173.150000002,60865231.16
2017,4,SOCIEDADES,C1050,2818064.91,2446427.2399999998,794989.81,53365149.1,71850034.45
2017,4,SOCIEDADES,C1071,1328350.8499999999,1131888.75,258241.34,13896165.69,24219635.25
2017,4,SOCIEDADES,C1103,5832081.11,4838987.48,413131.42,16253005.28,55650018.46
2017,5,SOCIEDADES,C1050,1412794.72,1010443.65,1996144.37,71781985.67999999,74962775.61
2017,5,SOCIEDADES,C1071,1350654.87,1132043.41,283036.48,17418527.63,27006882.029999997
2017,5,SOCIEDADES,C1103,7129747.4399999995,6055528.64,415393.05,18161092.5,66016764.11000001
2017,6,SOCIEDADES,C1050,2455341.42,2040070.07,1038547.72,58504777.02,77186258.12
2017,6,SOCIEDADES,C1071,1224627.11,1024511.25,261335.55000000002,15667222.059999999,26540500.61
2017,6,SOCIEDADES,C1103,5855241.58,4859692.16,511735.59,19784807.18,65943716.5
2017,7,SOCIEDADES,C1050,2366088.1,2049992.82,797073.01,56935807.56,74517769.82000001
2017,7,SOCIEDADES,C1071,1336628.63,1150183.03,244233.81000000003,16217604.24,27377071.98
2017,7,SOCIEDADES,C1103,5960222.09,5014690.14,364570.9,17485726.85,64552081.01
2017,8,SOCIEDADES,C1050,1555942.3499999999,1226335.24,1676269.73,65363015.81,77351648.15
2017,8,SOCIEDADES,C1071,1341490.24,1149369.44,255900.33000000002,18416493.49,28603430.15
2017,8,SOCIEDADES,C1103,6834823.16,5712688.63,548426.21,21818674.21,72361407.13
2017,9,SOCIEDADES,C1050,2159854.2800000003,1883697.7,1078118.9000000001,58788358.31,75791441.39
2017,9,SOCIEDADES,C1071,1328892.43,1139756.68,313895.10000000003,18349977.14,28166009.110000003
2017,9,SOCIEDADES,C1103,5618922.19,4728324.67,778259.57,19403494.91,61299107.94
2017,10,SOCIEDADES,C1050,2735578.3699999996,2418268.15,692220.7,53682555.52,70747922.36
2017,10,SOCIEDADES,C1071,1344322.38,1150621.8599999999,266787.86,18764820.03,29470244.389999997
2017,10,SOCIEDADES,C1103,5384007.57,4313521.52,394642.64,20782076.02,62699026.56
2017,11,SOCIEDADES,C1050,1591236.88,1355582.16,1588954.21,61397858.87,78205642.34
2017,11,SOCIEDADES,C1071,1129013.96,945493.27,317384.28,18294188.51,28105905.1
2017,11,SOCIEDADES,C1103,5586911.29,4418175.74,2044021.4,29917653.96,76572012.67
